instance,V,E,first_lb,best_lb,first_ub,best_ub,gap,status,n_rounds,solver,dataset,seed,timestamp,lb_gain
frb30-15-1.clq,450,83198,4,4,4,4,0.0,OPT,1,deep-v6,BHOSLIB,1,20260513101659,0
frb40-19-1.clq,760,247106,3,3,5,5,0.6666666666666666,OK,2,deep-v6,BHOSLIB,1,20260513101659,0
frb50-23-3.clq,1150,579607,2,2,3,3,0.5,OK,2,deep-v6,BHOSLIB,1,20260513101659,0
frb56-25-1.clq,1400,869624,1,1,3,3,2.0,OK,2,deep-v6,BHOSLIB,1,20260513101659,0
frb56-25-4.clq,1400,869262,2,2,3,3,0.5,OK,2,deep-v6,BHOSLIB,1,20260513101659,0
frb30-15-1.clq,450,83198,4,4,4,4,0.0,OPT,1,deep-v6,BHOSLIB,2,20260513101659,0
frb40-19-1.clq,760,247106,3,3,5,5,0.6666666666666666,OK,2,deep-v6,BHOSLIB,2,20260513101659,0
frb50-23-3.clq,1150,579607,2,2,3,3,0.5,OK,2,deep-v6,BHOSLIB,2,20260513101659,0
frb56-25-1.clq,1400,869624,1,1,3,3,2.0,OK,2,deep-v6,BHOSLIB,2,20260513101659,0
frb56-25-4.clq,1400,869262,2,2,3,3,0.5,OK,2,deep-v6,BHOSLIB,2,20260513101659,0
frb30-15-1.clq,450,83198,4,4,4,4,0.0,OPT,1,deep-v6,BHOSLIB,3,20260513101812,0
frb40-19-1.clq,760,247106,3,3,5,5,0.6666666666666666,OK,2,deep-v6,BHOSLIB,3,20260513101812,0
frb50-23-3.clq,1150,579607,2,2,3,3,0.5,OK,2,deep-v6,BHOSLIB,3,20260513101812,0
frb56-25-1.clq,1400,869624,1,1,3,3,2.0,OK,2,deep-v6,BHOSLIB,3,20260513101812,0
frb56-25-4.clq,1400,869262,2,2,3,3,0.5,OK,2,deep-v6,BHOSLIB,3,20260513101812,0
frb30-15-1.clq,450,83198,4,4,4,4,0.0,OPT,1,deep-v6,BHOSLIB,4,20260513101812,0
frb40-19-1.clq,760,247106,3,3,5,5,0.6666666666666666,OK,2,deep-v6,BHOSLIB,4,20260513101812,0
frb50-23-3.clq,1150,579607,2,2,3,3,0.5,OK,2,deep-v6,BHOSLIB,4,20260513101812,0
frb56-25-1.clq,1400,869624,1,1,3,3,2.0,OK,2,deep-v6,BHOSLIB,4,20260513101812,0
frb56-25-4.clq,1400,869262,2,2,3,3,0.5,OK,2,deep-v6,BHOSLIB,4,20260513101812,0
frb30-15-1.clq,450,83198,4,4,4,4,0.0,OPT,1,deep-v6,BHOSLIB,5,20260513101935,0
frb40-19-1.clq,760,247106,3,3,5,5,0.6666666666666666,OK,2,deep-v6,BHOSLIB,5,20260513101935,0
frb50-23-3.clq,1150,579607,2,2,3,3,0.5,OK,2,deep-v6,BHOSLIB,5,20260513101935,0
frb56-25-1.clq,1400,869624,1,1,3,3,2.0,OK,2,deep-v6,BHOSLIB,5,20260513101935,0
frb56-25-4.clq,1400,869262,2,2,3,3,0.5,OK,2,deep-v6,BHOSLIB,5,20260513101935,0
