Instance,PeakMem(MB),Time(s)
inf-roadNet-CA.clq,507.37,out_of_time
web-it-2004.clq,298.29,3602.44
tech-ip.clq,1020.80,out_of_time
wikipedia_link_en.clq,7405.64,3631.70
sc-rel9.clq,1796.60,out_of_time
