Instance,PeakMem(MB),Time(s)
p2p-Gnutella25.clq,7.59,0.43
Wiki-Vote.clq,3.89,0.45
Cit-HepTh.clq,13.43,3606.47
Amazon0302.clq,76.86,3633.16
Slashdot0902.clq,28.77,3628.74
