Instance,PeakMem(MB),Time(s)
p2p-Gnutella25.clq,7.34,0.30
Wiki-Vote.clq,4.16,0.27
Cit-HepTh.clq,15.96,3600.38
Amazon0302.clq,84.79,3660.52
Slashdot0902.clq,31.48,3600.42
