Instance,PeakMem(MB),Time(s)
C4000.5.clq,63.38,34.81
gen200_p0.9_55.clq,1.67,0.33
hamming6-2.clq,0.00,0.25
DSJC500_5.clq,2.30,0.95
p_hat300-2.clq,1.70,0.46
