Instance,PeakMem(MB),Time(s)
C4000.5.clq,108.77,3602.32
gen200_p0.9_55.clq,1.84,3600.21
hamming6-2.clq,0.20,0.22
DSJC500_5.clq,3.64,3599.90
p_hat300-2.clq,1.95,3600.16
