Instance,PeakMem(MB),Time(s)
eu-2005.clq,597.55,3643.72
in-2004.clq,636.82,3611.45
ldoor.clq,826.97,out_of_time
uk-2002.clq,10018.66,out_of_time
as-22july06.clq,4.16,0.33
