-----------------------------------------------------------
hostname       = node1196
SLURM_JOBID    = 26304529
candidate      = v009
datasets       = T1,T2,UDG,BHOSLIB,DIMACS,DIMACS10,NDR,SNAP
seeds          = 1,2,3
cutoff         = 20
-----------------------------------------------------------
{'candidate': 'v009', 'controller_label': 'tuned_bandit', 'family': 'T1', 'instance': 'T1_50_1000_0.wclq', 'solver': 'deep-v6', 'logical_seed': 1, 'actual_seed': 101, 'rep': 2, 'mode': 'controller_rep2', 'cutoff': 20, 'alpha': 90, 'exit_code': 0, 'raw_output': '../sumup/result/v009/raw/v009__T1__T1_50_1000_0.wclq__deep-v6__controller_rep2__s101.out', 'parse_ok': True, 'V': 50, 'E': 1000, 'first_lb': 28, 'best_lb': 28, 'lb_gain': 0, 'first_ub': 40, 'verified_ub': 40, 'ub_gain': 0, 'absolute_gap': 12, 'relative_gap': 0.42857142857142855, 'solver_certified_opt': 0, 'n_rounds': 98}
{'candidate': 'v009', 'controller_label': 'tuned_bandit', 'family': 'T1', 'instance': 'T1_50_1000_0.wclq', 'solver': 'fast-v19', 'logical_seed': 2, 'actual_seed': 102, 'rep': 2, 'mode': 'dbs_rep2', 'cutoff': 20, 'alpha': 90, 'exit_code': 0, 'raw_output': '../sumup/result/v009/raw/v009__T1__T1_50_1000_0.wclq__fast-v19__dbs_rep2__s102.out', 'parse_ok': True, 'V': 50, 'E': 1000, 'first_lb': 28, 'best_lb': 28, 'lb_gain': 0, 'first_ub': 40, 'verified_ub': 40, 'ub_gain': 0, 'absolute_gap': 12, 'relative_gap': 0.42857142857142855, 'solver_certified_opt': 0, 'n_rounds': 111}
{'candidate': 'v009', 'controller_label': 'tuned_bandit', 'family': 'T1', 'instance': 'T1_50_1000_0.wclq', 'solver': 'fast-v19', 'logical_seed': 2, 'actual_seed': 2, 'rep': 1, 'mode': 'dbs_rep1', 'cutoff': 20, 'alpha': 90, 'exit_code': 0, 'raw_output': '../sumup/result/v009/raw/v009__T1__T1_50_1000_0.wclq__fast-v19__dbs_rep1__s2.out', 'parse_ok': True, 'V': 50, 'E': 1000, 'first_lb': 28, 'best_lb': 28, 'lb_gain': 0, 'first_ub': 40, 'verified_ub': 40, 'ub_gain': 0, 'absolute_gap': 12, 'relative_gap': 0.42857142857142855, 'solver_certified_opt': 0, 'n_rounds': 110}
{'candidate': 'v009', 'controller_label': 'tuned_bandit', 'family': 'T1', 'instance': 'T1_50_1000_0.wclq', 'solver': 'fast-v19', 'logical_seed': 1, 'actual_seed': 101, 'rep': 2, 'mode': 'dbs_rep2', 'cutoff': 20, 'alpha': 90, 'exit_code': 0, 'raw_output': '../sumup/result/v009/raw/v009__T1__T1_50_1000_0.wclq__fast-v19__dbs_rep2__s101.out', 'parse_ok': True, 'V': 50, 'E': 1000, 'first_lb': 28, 'best_lb': 28, 'lb_gain': 0, 'first_ub': 40, 'verified_ub': 40, 'ub_gain': 0, 'absolute_gap': 12, 'relative_gap': 0.42857142857142855, 'solver_certified_opt': 0, 'n_rounds': 111}
{'candidate': 'v009', 'controller_label': 'tuned_bandit', 'family': 'T1', 'instance': 'T1_50_1000_0.wclq', 'solver': 'fast-v19', 'logical_seed': 1, 'actual_seed': 1, 'rep': 1, 'mode': 'controller_rep1', 'cutoff': 20, 'alpha': 90, 'exit_code': 0, 'raw_output': '../sumup/result/v009/raw/v009__T1__T1_50_1000_0.wclq__fast-v19__controller_rep1__s1.out', 'parse_ok': True, 'V': 50, 'E': 1000, 'first_lb': 28, 'best_lb': 28, 'lb_gain': 0, 'first_ub': 40, 'verified_ub': 40, 'ub_gain': 0, 'absolute_gap': 12, 'relative_gap': 0.42857142857142855, 'solver_certified_opt': 0, 'n_rounds': 102}
{'candidate': 'v009', 'controller_label': 'tuned_bandit', 'family': 'T1', 'instance': 'T1_50_1000_0.wclq', 'solver': 'fast-v19', 'logical_seed': 1, 'actual_seed': 1, 'rep': 1, 'mode': 'dbs_rep1', 'cutoff': 20, 'alpha': 90, 'exit_code': 0, 'raw_output': '../sumup/result/v009/raw/v009__T1__T1_50_1000_0.wclq__fast-v19__dbs_rep1__s1.out', 'parse_ok': True, 'V': 50, 'E': 1000, 'first_lb': 28, 'best_lb': 28, 'lb_gain': 0, 'first_ub': 40, 'verified_ub': 40, 'ub_gain': 0, 'absolute_gap': 12, 'relative_gap': 0.42857142857142855, 'solver_certified_opt': 0, 'n_rounds': 111}
{'candidate': 'v009', 'controller_label': 'tuned_bandit', 'family': 'T1', 'instance': 'T1_50_1000_0.wclq', 'solver': 'fast-v19', 'logical_seed': 2, 'actual_seed': 102, 'rep': 2, 'mode': 'controller_rep2', 'cutoff': 20, 'alpha': 90, 'exit_code': 0, 'raw_output': '../sumup/result/v009/raw/v009__T1__T1_50_1000_0.wclq__fast-v19__controller_rep2__s102.out', 'parse_ok': True, 'V': 50, 'E': 1000, 'first_lb': 28, 'best_lb': 28, 'lb_gain': 0, 'first_ub': 40, 'verified_ub': 40, 'ub_gain': 0, 'absolute_gap': 12, 'relative_gap': 0.42857142857142855, 'solver_certified_opt': 0, 'n_rounds': 101}
{'candidate': 'v009', 'controller_label': 'tuned_bandit', 'family': 'T1', 'instance': 'T1_50_1000_0.wclq', 'solver': 'fast-v19', 'logical_seed': 2, 'actual_seed': 2, 'rep': 1, 'mode': 'controller_rep1', 'cutoff': 20, 'alpha': 90, 'exit_code': 0, 'raw_output': '../sumup/result/v009/raw/v009__T1__T1_50_1000_0.wclq__fast-v19__controller_rep1__s2.out', 'parse_ok': True, 'V': 50, 'E': 1000, 'first_lb': 28, 'best_lb': 28, 'lb_gain': 0, 'first_ub': 40, 'verified_ub': 40, 'ub_gain': 0, 'absolute_gap': 12, 'relative_gap': 0.42857142857142855, 'solver_certified_opt': 0, 'n_rounds': 101}
{'candidate': 'v009', 'controller_label': 'tuned_bandit', 'family': 'T1', 'instance': 'T1_50_1000_0.wclq', 'solver': 'fast-v19', 'logical_seed': 1, 'actual_seed': 101, 'rep': 2, 'mode': 'controller_rep2', 'cutoff': 20, 'alpha': 90, 'exit_code': 0, 'raw_output': '../sumup/result/v009/raw/v009__T1__T1_50_1000_0.wclq__fast-v19__controller_rep2__s101.out', 'parse_ok': True, 'V': 50, 'E': 1000, 'first_lb': 28, 'best_lb': 28, 'lb_gain': 0, 'first_ub': 40, 'verified_ub': 40, 'ub_gain': 0, 'absolute_gap': 12, 'relative_gap': 0.42857142857142855, 'solver_certified_opt': 0, 'n_rounds': 102}
{'candidate': 'v009', 'controller_label': 'tuned_bandit', 'family': 'T1', 'instance': 'T1_200_2000_8.wclq', 'solver': 'deep-v6', 'logical_seed': 1, 'actual_seed': 101, 'rep': 2, 'mode': 'dbs_rep2', 'cutoff': 20, 'alpha': 90, 'exit_code': 0, 'raw_output': '../sumup/result/v009/raw/v009__T1__T1_200_2000_8.wclq__deep-v6__dbs_rep2__s101.out', 'parse_ok': True, 'V': 200, 'E': 2000, 'first_lb': 198, 'best_lb': 218, 'lb_gain': 20, 'first_ub': 461, 'verified_ub': 416, 'ub_gain': 45, 'absolute_gap': 198, 'relative_gap': 0.908256880733945, 'solver_certified_opt': 0, 'n_rounds': 43}
{'candidate': 'v009', 'controller_label': 'tuned_bandit', 'family': 'T1', 'instance': 'T1_200_2000_8.wclq', 'solver': 'deep-v6', 'logical_seed': 2, 'actual_seed': 2, 'rep': 1, 'mode': 'controller_rep1', 'cutoff': 20, 'alpha': 90, 'exit_code': 0, 'raw_output': '../sumup/result/v009/raw/v009__T1__T1_200_2000_8.wclq__deep-v6__controller_rep1__s2.out', 'parse_ok': True, 'V': 200, 'E': 2000, 'first_lb': 198, 'best_lb': 222, 'lb_gain': 24, 'first_ub': 461, 'verified_ub': 416, 'ub_gain': 45, 'absolute_gap': 194, 'relative_gap': 0.8738738738738738, 'solver_certified_opt': 0, 'n_rounds': 43}
{'candidate': 'v009', 'controller_label': 'tuned_bandit', 'family': 'T1', 'instance': 'T1_200_2000_8.wclq', 'solver': 'deep-v6', 'logical_seed': 2, 'actual_seed': 102, 'rep': 2, 'mode': 'controller_rep2', 'cutoff': 20, 'alpha': 90, 'exit_code': 0, 'raw_output': '../sumup/result/v009/raw/v009__T1__T1_200_2000_8.wclq__deep-v6__controller_rep2__s102.out', 'parse_ok': True, 'V': 200, 'E': 2000, 'first_lb': 198, 'best_lb': 221, 'lb_gain': 23, 'first_ub': 461, 'verified_ub': 416, 'ub_gain': 45, 'absolute_gap': 195, 'relative_gap': 0.8823529411764706, 'solver_certified_opt': 0, 'n_rounds': 43}
{'candidate': 'v009', 'controller_label': 'tuned_bandit', 'family': 'T1', 'instance': 'T1_200_2000_8.wclq', 'solver': 'deep-v6', 'logical_seed': 1, 'actual_seed': 101, 'rep': 2, 'mode': 'controller_rep2', 'cutoff': 20, 'alpha': 90, 'exit_code': 0, 'raw_output': '../sumup/result/v009/raw/v009__T1__T1_200_2000_8.wclq__deep-v6__controller_rep2__s101.out', 'parse_ok': True, 'V': 200, 'E': 2000, 'first_lb': 198, 'best_lb': 221, 'lb_gain': 23, 'first_ub': 461, 'verified_ub': 416, 'ub_gain': 45, 'absolute_gap': 195, 'relative_gap': 0.8823529411764706, 'solver_certified_opt': 0, 'n_rounds': 42}
{'candidate': 'v009', 'controller_label': 'tuned_bandit', 'family': 'T1', 'instance': 'T1_200_2000_8.wclq', 'solver': 'deep-v6', 'logical_seed': 1, 'actual_seed': 1, 'rep': 1, 'mode': 'controller_rep1', 'cutoff': 20, 'alpha': 90, 'exit_code': 0, 'raw_output': '../sumup/result/v009/raw/v009__T1__T1_200_2000_8.wclq__deep-v6__controller_rep1__s1.out', 'parse_ok': True, 'V': 200, 'E': 2000, 'first_lb': 198, 'best_lb': 215, 'lb_gain': 17, 'first_ub': 461, 'verified_ub': 416, 'ub_gain': 45, 'absolute_gap': 201, 'relative_gap': 0.9348837209302325, 'solver_certified_opt': 0, 'n_rounds': 42}
{'candidate': 'v009', 'controller_label': 'tuned_bandit', 'family': 'T1', 'instance': 'T1_200_2000_8.wclq', 'solver': 'deep-v6', 'logical_seed': 2, 'actual_seed': 2, 'rep': 1, 'mode': 'dbs_rep1', 'cutoff': 20, 'alpha': 90, 'exit_code': 0, 'raw_output': '../sumup/result/v009/raw/v009__T1__T1_200_2000_8.wclq__deep-v6__dbs_rep1__s2.out', 'parse_ok': True, 'V': 200, 'E': 2000, 'first_lb': 198, 'best_lb': 222, 'lb_gain': 24, 'first_ub': 461, 'verified_ub': 416, 'ub_gain': 45, 'absolute_gap': 194, 'relative_gap': 0.8738738738738738, 'solver_certified_opt': 0, 'n_rounds': 42}
{'candidate': 'v009', 'controller_label': 'tuned_bandit', 'family': 'T1', 'instance': 'T1_200_2000_8.wclq', 'solver': 'deep-v6', 'logical_seed': 1, 'actual_seed': 1, 'rep': 1, 'mode': 'dbs_rep1', 'cutoff': 20, 'alpha': 90, 'exit_code': 0, 'raw_output': '../sumup/result/v009/raw/v009__T1__T1_200_2000_8.wclq__deep-v6__dbs_rep1__s1.out', 'parse_ok': True, 'V': 200, 'E': 2000, 'first_lb': 198, 'best_lb': 225, 'lb_gain': 27, 'first_ub': 461, 'verified_ub': 416, 'ub_gain': 45, 'absolute_gap': 191, 'relative_gap': 0.8488888888888889, 'solver_certified_opt': 0, 'n_rounds': 38}
{'candidate': 'v009', 'controller_label': 'tuned_bandit', 'family': 'T1', 'instance': 'T1_200_2000_8.wclq', 'solver': 'deep-v6', 'logical_seed': 2, 'actual_seed': 102, 'rep': 2, 'mode': 'dbs_rep2', 'cutoff': 20, 'alpha': 90, 'exit_code': 0, 'raw_output': '../sumup/result/v009/raw/v009__T1__T1_200_2000_8.wclq__deep-v6__dbs_rep2__s102.out', 'parse_ok': True, 'V': 200, 'E': 2000, 'first_lb': 198, 'best_lb': 218, 'lb_gain': 20, 'first_ub': 461, 'verified_ub': 416, 'ub_gain': 45, 'absolute_gap': 198, 'relative_gap': 0.908256880733945, 'solver_certified_opt': 0, 'n_rounds': 42}
{'candidate': 'v009', 'controller_label': 'tuned_bandit', 'family': 'T1', 'instance': 'T1_50_1000_0.wclq', 'solver': 'fast-v19', 'logical_seed': 3, 'actual_seed': 103, 'rep': 2, 'mode': 'dbs_rep2', 'cutoff': 20, 'alpha': 90, 'exit_code': 0, 'raw_output': '../sumup/result/v009/raw/v009__T1__T1_50_1000_0.wclq__fast-v19__dbs_rep2__s103.out', 'parse_ok': True, 'V': 50, 'E': 1000, 'first_lb': 28, 'best_lb': 28, 'lb_gain': 0, 'first_ub': 40, 'verified_ub': 40, 'ub_gain': 0, 'absolute_gap': 12, 'relative_gap': 0.42857142857142855, 'solver_certified_opt': 0, 'n_rounds': 111}
{'candidate': 'v009', 'controller_label': 'tuned_bandit', 'family': 'T1', 'instance': 'T1_200_2000_8.wclq', 'solver': 'deep-v6', 'logical_seed': 3, 'actual_seed': 3, 'rep': 1, 'mode': 'dbs_rep1', 'cutoff': 20, 'alpha': 90, 'exit_code': 0, 'raw_output': '../sumup/result/v009/raw/v009__T1__T1_200_2000_8.wclq__deep-v6__dbs_rep1__s3.out', 'parse_ok': True, 'V': 200, 'E': 2000, 'first_lb': 198, 'best_lb': 220, 'lb_gain': 22, 'first_ub': 461, 'verified_ub': 416, 'ub_gain': 45, 'absolute_gap': 196, 'relative_gap': 0.8909090909090909, 'solver_certified_opt': 0, 'n_rounds': 43}
{'candidate': 'v009', 'controller_label': 'tuned_bandit', 'family': 'T1', 'instance': 'T1_50_1000_0.wclq', 'solver': 'fast-v19', 'logical_seed': 3, 'actual_seed': 3, 'rep': 1, 'mode': 'controller_rep1', 'cutoff': 20, 'alpha': 90, 'exit_code': 0, 'raw_output': '../sumup/result/v009/raw/v009__T1__T1_50_1000_0.wclq__fast-v19__controller_rep1__s3.out', 'parse_ok': True, 'V': 50, 'E': 1000, 'first_lb': 28, 'best_lb': 28, 'lb_gain': 0, 'first_ub': 40, 'verified_ub': 40, 'ub_gain': 0, 'absolute_gap': 12, 'relative_gap': 0.42857142857142855, 'solver_certified_opt': 0, 'n_rounds': 101}
{'candidate': 'v009', 'controller_label': 'tuned_bandit', 'family': 'T1', 'instance': 'T1_200_2000_8.wclq', 'solver': 'deep-v6', 'logical_seed': 3, 'actual_seed': 3, 'rep': 1, 'mode': 'controller_rep1', 'cutoff': 20, 'alpha': 90, 'exit_code': 0, 'raw_output': '../sumup/result/v009/raw/v009__T1__T1_200_2000_8.wclq__deep-v6__controller_rep1__s3.out', 'parse_ok': True, 'V': 200, 'E': 2000, 'first_lb': 198, 'best_lb': 221, 'lb_gain': 23, 'first_ub': 461, 'verified_ub': 416, 'ub_gain': 45, 'absolute_gap': 195, 'relative_gap': 0.8823529411764706, 'solver_certified_opt': 0, 'n_rounds': 38}
{'candidate': 'v009', 'controller_label': 'tuned_bandit', 'family': 'T1', 'instance': 'T1_200_2000_8.wclq', 'solver': 'deep-v6', 'logical_seed': 3, 'actual_seed': 103, 'rep': 2, 'mode': 'dbs_rep2', 'cutoff': 20, 'alpha': 90, 'exit_code': 0, 'raw_output': '../sumup/result/v009/raw/v009__T1__T1_200_2000_8.wclq__deep-v6__dbs_rep2__s103.out', 'parse_ok': True, 'V': 200, 'E': 2000, 'first_lb': 198, 'best_lb': 213, 'lb_gain': 15, 'first_ub': 461, 'verified_ub': 416, 'ub_gain': 45, 'absolute_gap': 203, 'relative_gap': 0.9530516431924883, 'solver_certified_opt': 0, 'n_rounds': 43}
