Instance,PeakMem(MB),Time(s)
frb50-23-3.clq,19.11,3600.63
frb40-19-1.clq,8.95,3600.36
frb30-15-1.clq,3.90,0.35
frb56-25-1.clq,26.77,3600.97
frb56-25-4.clq,26.77,3600.91
