Instance,PeakMem(MB),Time(s)
T2_250_250_8.wclq,1.07,0.23
T2_1000_20000_9.wclq,2.08,3600.30
T2_150_2000_1.wclq,1.45,3600.25
T2_50_1000_6.wclq,1.07,0.23
T2_250_2000_3.wclq,1.47,3600.23
