Instance,PeakMem(MB),Time(s)
inf-roadNet-CA.clq,500.42,out_of_time
web-it-2004.clq,279.98,3603.18
tech-ip.clq,1011.94,out_of_time
wikipedia_link_en.clq,7397.99,3636.21
sc-rel9.clq,1785.57,out_of_time
