Instance,PeakMem(MB),Time(s)
inf-roadNet-CA.clq,523.06,out_of_time
tech-ip.clq,885.86,out_of_time
wikipedia_link_en.clq,7397.25,3653.97
sc-rel9.clq,1755.40,out_of_time
