Instance,PeakMem(MB),Time(s)
frb50-23-3.clq,10.34,1.57
frb40-19-1.clq,5.27,1.51
frb30-15-1.clq,2.70,0.33
frb56-25-1.clq,14.84,2.02
frb56-25-4.clq,15.04,2.73
