Instance,PeakMem(MB),Time(s)
eu-2005.clq,591.26,out_of_time
in-2004.clq,632.78,3610.44
ldoor.clq,830.77,out_of_time
uk-2002.clq,10003.26,out_of_time
as-22july06.clq,6.97,0.34
