Instance,PeakMem(MB),Time(s)
eu-2005.clq,591.36,3628.43
in-2004.clq,652.34,3611.76
ldoor.clq,827.15,out_of_time
uk-2002.clq,10062.41,out_of_time
as-22july06.clq,7.26,0.27
