Instance,PeakMem(MB),Time(s)
inf-roadNet-CA.clq,512.41,out_of_time
web-it-2004.clq,296.48,3602.38
tech-ip.clq,1020.00,out_of_time
wikipedia_link_en.clq,7405.25,3631.69
sc-rel9.clq,1795.93,out_of_time
