Instance,PeakMem(MB),Time(s)
UDG_50_150_0.wclq,1.06,0.24
UDG_500_150_3.wclq,1.58,0.24
UDG_800_200_8.wclq,2.10,0.25
UDG_1000_200_8.wclq,2.87,3600.02
UDG_100_200_1.wclq,1.06,0.23
